T_K,k_W_per_mK
20.0,28.4275476264488
21.564245810055866,30.517112166416887
23.12849162011173,32.56652314289455
24.692737430167597,34.57576892518791
26.256983240223462,36.54510669335456
27.821229050279328,38.474993095971364
29.385474860335194,40.366031564986606
30.94972067039106,42.21893204706375
32.513966480446925,44.034480081664
34.07821229050279,45.81351297631308
35.642458100558656,47.55690141224967
37.20670391061452,49.26553523306237
38.77094972067039,50.94031247434409
40.33519553072625,52.582130917205035
41.89944134078212,54.19188161559765
43.463687150837984,55.77044397274863
45.02793296089385,57.318682036789156
46.592178770949715,58.83744175790876
48.15642458100558,60.327549004790484
49.72067039106145,61.78980818089899
51.28491620111731,63.225001314450196
52.849162011173185,64.63388752187647
54.41340782122905,66.01720276499549
55.977653631284916,67.37565983818111
57.54189944134078,68.70994853457718
59.10614525139665,70.02073595052411
60.67039106145251,71.30866689545513
62.23463687150838,72.57436438099008
63.798882681564244,73.81843016814753
65.3631284916201,75.0414453557792
66.92737430167597,76.24397099670189
68.49162011173183,77.42654873072668
70.0558659217877,78.58970142599466
71.62011173184356,79.73393382181095
73.18435754189943,80.85973316762373
74.7486033519553,81.96756985396878
76.31284916201116,83.0578980321596
77.87709497206703,84.13115622027021
79.4413407821229,85.18776789359875
81.00558659217876,86.22814205829346
82.56983240223462,87.25267380724911
84.1340782122905,88.2617448577022
85.69832402234637,89.2557240702217
87.26256983240224,90.23496794900808
88.8268156424581,91.19982112357827
90.39106145251397,92.1506168120471
91.95530726256983,93.0876772663188
93.5195530726257,94.0113141995833
95.08379888268156,94.92182919656976
96.64804469273743,95.81951410705183
98.2122905027933,96.704651423134
99.77653631284916,97.5775146408618
101.34078212290503,98.43836860671823
102.90502793296089,99.28746984956418
104.46927374301676,100.12506689858654
106.03351955307262,100.95140058780687
107.59776536312849,101.76670434770388
109.16201117318435,102.57120448447478
110.72625698324022,103.36512044746821
112.29050279329608,104.14866508528813
113.85474860335195,104.92204489106336
115.41899441340782,105.68546023735483
116.98324022346368,106.43910560116099
118.54748603351955,107.183169779457
120.11173184357541,107.91783609569305
121.67597765363128,108.64328259765661
123.24022346368714,109.35968224708596
124.80446927374301,110.06720310140781
126.36871508379888,110.76600848795206
127.93296089385474,111.45625717098802
129.4972067039106,112.13810351190145
131.06145251396646,112.81169762282285
132.62569832402232,113.47718551400824
134.1899441340782,114.1347092352434
135.75418994413405,114.78440701155209
137.31843575418992,115.42641337345425
138.8826815642458,116.06085928202234
140.44692737430165,116.68787224897308
142.01117318435752,117.30757645200298
143.57541899441338,117.92009284559487
145.13966480446925,118.52553926748219
146.7039106145251,119.12403054097017
148.268156424581,119.71567857329599
149.83240223463687,120.30059245019645
151.39664804469274,120.87887852685581
152.9608938547486,121.45064051538131
154.52513966480447,122.0159795689712
156.08938547486034,122.57499436289837
157.6536312849162,123.12778117246691
159.21787709497207,123.67443394805613
160.78212290502793,124.2150443873795
162.3463687150838,124.74970200508231
163.91061452513966,125.27849419978104
165.47486033519553,125.80150631865986
167.0391061452514,126.31882171972238
168.60335195530726,126.83052183179316
170.16759776536313,127.33668621236968
171.731843575419,127.83739260340711
173.29608938547486,128.33271698512252
174.86033519553072,128.82273362789968
176.4245810055866,129.3075151423699
177.98882681564245,129.78713252774497
179.55307262569832,130.26165521847176
181.11731843575419,130.73115112927087
182.68156424581005,131.1956866986337
184.24581005586592,131.6553269308289
185.81005586592178,132.1101354364804
187.37430167597765,132.56017447177607
188.9385474860335,133.005504976357
190.50279329608938,133.44618660993763
192.06703910614524,133.88227778770977
193.6312849162011,134.31383571457403
195.19553072625698,134.74091641824418
196.75977653631284,135.1635747812664
198.3240223463687,135.58186457199974
199.88826815642457,135.9958384745852
201.45251396648044,136.405548117959
203.0167597765363,136.81104410392462
204.58100558659217,137.21237603433656
206.14525139664804,137.60959253742075
207.7094972067039,138.00274129326166
209.27374301675977,138.39186905848842
210.83798882681563,138.77702169019372
212.4022346368715,139.15824416910408
213.96648044692736,139.5355806220364
215.53072625698323,139.90907434366378
217.0949720670391,140.27876781761125
218.65921787709496,140.64470273691543
220.22346368715083,141.00692002385466
221.7877094972067,141.36545984918965
223.35195530726256,141.72036165082193
224.91620111731842,142.07166415189627
226.4804469273743,142.41940537836496
228.04469273743015,142.76362267603295
229.60893854748602,143.10435272709987
231.17318435754188,143.44163156621974
232.73743016759775,143.77549459609085
234.30167597765362,144.10597660259614
235.86592178770948,144.43311176950039
237.43016759776535,144.7569336927341
238.9944134078212,145.07747539425932
240.55865921787708,145.39476933555005
242.12290502793294,145.70884743068336
243.6871508379888,146.0197410590648
245.25139664804468,146.32748107779898
246.81564245810054,146.63209783370908
248.3798882681564,146.93362117502522
249.94413407821227,147.232080462753
251.50837988826814,147.52750458172008
253.072625698324,147.8199219513303
254.63687150837987,148.10936053601452
256.20111731843576,148.39584785540544
257.7653631284916,148.67941099423126
259.3296089385475,148.96007661194605
260.8938547486033,149.23787095210287
262.4581005586592,149.5128198514748
264.02234636871503,149.78494874893127
265.58659217877096,150.05428269408665
267.15083798882677,150.3208463557127
268.7150837988827,150.58466402994003
270.2793296089385,150.84575964823316
271.8435754189944,151.10415678516947
273.4078212290502,151.35987866601292
274.97206703910615,151.6129481740903
276.536312849162,151.86338785797952
278.1005586592179,152.11121993851836
279.66480446927375,152.3564663156276
281.2290502793296,152.59914857496517
282.7932960893855,152.83928799441844
284.35754189944134,153.07690555041762
285.9217877094972,153.31202192410885
287.4860335195531,153.54465750736279
289.05027932960894,153.77483240863648
290.6145251396648,154.00256645869166
292.1787709497207,154.22787921617146
293.74301675977654,154.4507899730428
295.3072625698324,154.67131775989765
296.87150837988827,154.88948135114086
298.43575418994413,155.10529927003367
300.0,155.318789793632
